JAHR;GRUPPE;ANZAHL
2002;bis 20 Jahre;228004
2002;zw. 20 und 64 Jahren;644519
2002;über 65 Jahre;164712
2003;bis 20 Jahre;226260
2003;zw. 20 und 64 Jahren;650240
2003;über 65 Jahre;164856
2004;bis 20 Jahre;224420
2004;zw. 20 und 64 Jahren;654739
2004;über 65 Jahre;166292
2005;bis 20 Jahre;223391
2005;zw. 20 und 64 Jahren;657151
2005;über 65 Jahre;172214
2006;bis 20 Jahre;222338
2006;zw. 20 und 64 Jahren;658222
2006;über 65 Jahre;178694
2007;bis 20 Jahre;220557
2007;zw. 20 und 64 Jahren;659474
2007;über 65 Jahre;183882
2008;bis 20 Jahre;219025
2008;zw. 20 und 64 Jahren;662655
2008;über 65 Jahre;186884
2009;bis 20 Jahre;217498
2009;zw. 20 und 64 Jahren;665505
2009;über 65 Jahre;189867
2010;bis 20 Jahre;215229
2010;zw. 20 und 64 Jahren;667930
2010;über 65 Jahre;192784
2011;bis 20 Jahre;213345
2011;zw. 20 und 64 Jahren;673414
2011;über 65 Jahre;193404
2012;bis 20 Jahre;210736
2012;zw. 20 und 64 Jahren;677405
2012;über 65 Jahre;196748
2013;bis 20 Jahre;208819
2013;zw. 20 und 64 Jahren;681047
2013;über 65 Jahre;200380
2014;bis 20 Jahre;207439
2014;zw. 20 und 64 Jahren;685465
2014;über 65 Jahre;204248
2015;bis 20 Jahre;206563
2015;zw. 20 und 64 Jahren;691038
2015;über 65 Jahre;208045
2016;bis 20 Jahre;208450
2016;zw. 20 und 64 Jahren;698668
2016;über 65 Jahre;210838
2017;bis 20 Jahre;209252
2017;zw. 20 und 64 Jahren;703108
2017;über 65 Jahre;213987
2018;bis 20 Jahre;209258
2018;zw. 20 und 64 Jahren;705378
2018;über 65 Jahre;216905
2019;bis 20 Jahre;209284
2019;zw. 20 und 64 Jahren;707417
2019;über 65 Jahre;220064
2020;bis 20 Jahre;209754
2020;zw. 20 und 64 Jahren;709183
2020;über 65 Jahre;223963
2021;bis 20 Jahre;209750
2021;zw. 20 und 64 Jahren;709847
2021;über 65 Jahre;227217
2022;bis 20 Jahre;211341
2022;zw. 20 und 64 Jahren;710841
2022;über 65 Jahre;232710
2023;bis 20 Jahre;214371
2023;zw. 20 und 64 Jahren;716258
2023;über 65 Jahre;237810
2024;bis 20 Jahre;215924
2024;zw. 20 und 64 Jahren;717220
2024;über 65 Jahre;243387
