Jahr;GKZ;Geschlecht;Vorname;Anzahl
2010;20321;1;Markus;1
2013;20905;2;Sophie;1
2014;20305;2;Emilia;1
2011;20305;2;Matilda;1
2014;20402;1;Fabian;1
2013;20101;2;Savannah;1
2011;20635;2;Marleen-christin;1
2009;20724;2;Alessia;1
2008;20502;2;Lea;1
2012;20321;2;Kristina;1
2013;20634;2;Clara;1
2009;20417;2;Jana;1
2009;20616;2;Marie;1
2013;20808;2;Ivy;1
2010;21005;2;Sara;1
2011;20905;2;Christin;1
2010;20635;2;Sarah;1
2014;20727;1;Marco;1
2010;21010;2;Johanna;1
2014;20201;1;Sebastijan;1
2009;20501;1;Patric;1
2011;21002;2;Lia;1
2004;20530;2;;11
2006;20812;1;;7
2012;20817;2;Elena;1
2013;20101;1;Bryan;1
2008;20644;2;;1
2014;20817;1;Johannes;1
2013;20441;2;Mija;1
2011;20636;2;Elena;1
2007;20512;2;;8
2012;20817;2;Lilly;1
2009;20703;1;Jonas;1
2008;20527;2;Sara;1
2010;20305;2;Johanna;2
2009;20727;2;Alina;1
2012;20201;1;Matteo;2
2014;20602;2;Alisa;1
2011;20402;2;Anna-lena;1
2009;20627;1;Philipp;1
2010;20613;1;Fabian;1
2011;20101;2;Zoe-marie;1
2007;20905;2;;13
2009;20602;1;;1
2011;20923;2;Theresa;2
2010;20619;2;Samira;1
2006;20531;1;;6
2012;20305;2;Nathalie;1
2009;20923;1;Laurenz;1
2010;20711;1;Filip;1
2009;20101;2;Ina;2
2008;20619;2;Elina;1
2014;20803;2;Lara;2
2011;20805;1;Sebastian;1
2014;21002;2;Melina;1
2008;20502;2;Vanessa;1
2013;20424;2;Kim;1
2013;20635;2;Martina;1
2011;21005;1;Alexander;1
2011;20307;1;Sebastian;1
2014;20813;1;Samuel;1
2013;20101;2;Estefania;1
2014;20702;2;Nina;1
2010;20527;1;Benjamin;2
2007;21006;2;;4
2006;20815;2;;7
2008;20201;1;Kilian;2
2009;20201;2;Isil;1
2011;20421;1;Raphael;1
2011;20424;2;Sophie;1
2013;20803;1;Simon;1
2010;20201;2;Emilia;2
2009;20725;2;Lieselotte;1
2012;20805;2;Lara;1
2011;20201;2;Amela;1
2014;20527;2;Clara;1
2010;20817;2;Leni;1
2013;20810;1;Lukas;1
2008;20923;2;Collien;1
2011;20637;2;Pinar;1
2010;20801;1;Philipp;2
2012;21009;1;Matteo;1
2014;20534;1;Lukas;1
2010;20901;2;Tamara;1
2010;20923;1;Emilian;1
2003;20805;1;;10
2010;20727;1;Raphael;1
2009;20603;1;Pascal;1
2008;20725;2;Lilly;1
2013;20923;1;Kay;1
2008;20708;1;Benjamin;1
2013;20201;2;Alina;6
2010;20101;2;Shayla;1
2014;20101;1;Christian;4
2013;20905;2;Sarah;1
2009;20711;2;Julia;1
2008;20923;1;Mehmet;1
2010;20201;2;Chenoa;1
2009;20719;2;Annika;1
2013;20530;1;Luca;1
2008;20817;2;Enny;1
2008;20501;2;Sarah;1
2010;20501;2;Johanna;1
2012;20405;2;Lucia;1
2011;20635;2;Valentina;1
2003;20502;2;;13
2012;20442;2;Adeline;1
2010;20201;2;Sanela;1
2010;20727;1;Tamo;1
2004;20515;2;;18
2010;20101;1;Finn;1
2009;20725;2;Milena;1
2009;20201;2;Soey;1
2013;20711;1;Diego;1
2012;20530;2;Martha;1
2012;20201;2;Loresa;1
2010;20305;2;Nina;1
2012;21002;2;Anastasya;1
2013;20515;2;Theresa;1
2011;20724;2;Anna;1
